image_id,unetpp_prnu_illum_iou,unetpp_prnu_freq_iou,unetpp_freq_illum_iou,unetpp_all_iou,attenunet_prnu_illum_iou,attenunet_prnu_freq_iou,attenunet_freq_illum_iou,attenunet_all_iou,ensemble_prnu_illum_iou,ensemble_prnu_freq_iou,ensemble_freq_illum_iou,ensemble_all_iou
111,0.941715,0.955462,0.879523,0.942833,0.955192,0.934487,0.92057,0.95071,0.951374,0.949124,0.902092,0.947938
112,0.946099,0.936538,0.912104,0.924318,0.948414,0.946862,0.923245,0.942432,0.95581,0.943673,0.923495,0.948037
113,0.89964,0.903059,0.877215,0.907921,0.886651,0.924929,0.845387,0.879377,0.896057,0.914825,0.86758,0.893735
114,0.952633,0.95286,0.935754,0.955385,0.959938,0.947304,0.943225,0.968789,0.9574,0.954163,0.941581,0.964363
115,0.912119,0.949136,0.953452,0.958713,0.946278,0.946771,0.926355,0.930248,0.931855,0.946034,0.957871,0.943152
116,0.927349,0.934029,0.940565,0.956195,0.929912,0.927826,0.927197,0.941841,0.928154,0.931942,0.931638,0.948095
117,0.962647,0.952474,0.935445,0.940661,0.933592,0.914331,0.904608,0.923742,0.944006,0.948201,0.923763,0.930912
118,0.866514,0.931373,0.853311,0.929639,0.884175,0.903933,0.83531,0.829138,0.877741,0.92689,0.845163,0.854959
119,0.933536,0.917845,0.933071,0.937354,0.948604,0.91003,0.910567,0.940621,0.947065,0.916527,0.924096,0.944911
120,0.952381,0.956673,0.932302,0.931682,0.926284,0.958333,0.924801,0.942388,0.941667,0.959026,0.935025,0.93975
121,0.947736,0.967201,0.94868,0.960326,0.963493,0.943652,0.941328,0.960586,0.956877,0.954244,0.95013,0.967054
122,0.945455,0.944238,0.934568,0.944467,0.946738,0.941904,0.927442,0.931384,0.947912,0.94188,0.930527,0.937908
123,0.940584,0.919245,0.896163,0.926299,0.91664,0.935191,0.91515,0.929591,0.932314,0.927852,0.915232,0.929175
124,0.931206,0.938482,0.918402,0.916446,0.923077,0.925731,0.918319,0.917158,0.929024,0.93862,0.9179,0.921148
125,0.953945,0.951209,0.912127,0.951115,0.925831,0.904782,0.900511,0.921273,0.937766,0.935115,0.906003,0.936838
126,0.973323,0.966057,0.968085,0.980734,0.9701,0.970078,0.957302,0.967359,0.980698,0.969156,0.966231,0.978091
127,0.937384,0.951319,0.931148,0.962039,0.949348,0.94729,0.910773,0.959404,0.946741,0.95041,0.953412,0.961653
128,0.971733,0.963991,0.958445,0.955155,0.967731,0.972982,0.963967,0.951543,0.969236,0.975561,0.973199,0.958691
129,0.937525,0.946586,0.947558,0.963355,0.929004,0.930922,0.912804,0.931809,0.933225,0.94025,0.931583,0.951358
130,0.95285,0.91958,0.926671,0.953959,0.951046,0.933216,0.937149,0.953448,0.950866,0.926641,0.937196,0.956278
131,0.980731,0.965957,0.945894,0.968016,0.972549,0.964064,0.952044,0.92654,0.980852,0.964648,0.949792,0.939317
132,0.979687,0.949528,0.931885,0.97596,0.967633,0.971807,0.915059,0.957588,0.976774,0.967309,0.92691,0.965344
133,0.96393,0.958348,0.953747,0.947632,0.949295,0.960831,0.929342,0.960663,0.955887,0.962938,0.942544,0.960665
134,0,0,0,0,0,0,0,0,0,0,0,0
135,0.936779,0.956393,0.850052,0.941176,0.926284,0.96077,0.862314,0.948162,0.935616,0.960726,0.854035,0.950795
136,0.943687,0.86991,0.914437,0.95677,0.950963,0.904541,0.876194,0.964925,0.960428,0.912934,0.896743,0.966954
137,0.976483,0.975385,0.946882,0.975212,0.973845,0.953682,0.937866,0.973836,0.977172,0.965924,0.947783,0.97619
138,0.938367,0.924757,0.890736,0.932981,0.925151,0.939729,0.918072,0.908696,0.929264,0.935261,0.905939,0.924407
139,0.967469,0.925385,0.945584,0.973507,0.916565,0.943326,0.961088,0.977947,0.95842,0.935866,0.966807,0.981356
140,0.955164,0.950544,0.960969,0.972644,0.944633,0.961692,0.904114,0.964046,0.965947,0.957228,0.932388,0.968708
141,0.925993,0.939988,0.778349,0.923054,0.940176,0.93608,0.768055,0.903857,0.938738,0.942883,0.772755,0.913416
142,0.899935,0.928594,0.862091,0.913198,0.885825,0.905147,0.885733,0.926993,0.898344,0.927634,0.883825,0.928802
143,0.904148,0.953236,0.931575,0.963644,0.961285,0.948633,0.864025,0.938925,0.937322,0.955019,0.893982,0.948602
144,0.940063,0.948108,0.917818,0.938768,0.952891,0.961898,0.926227,0.94339,0.951722,0.958559,0.925848,0.940084
145,0.949558,0.951488,0.929087,0.95274,0.93441,0.966557,0.90816,0.934804,0.940362,0.964694,0.92699,0.947644
146,0.963297,0.94315,0.96063,0.957606,0.956157,0.953496,0.940134,0.960723,0.959514,0.946417,0.957361,0.958229
147,0.906887,0.905079,0.924682,0.890378,0.895028,0.88018,0.933746,0.89287,0.902787,0.89986,0.936627,0.892696
148,0.963423,0.964691,0.936701,0.957134,0.954398,0.947506,0.953247,0.93099,0.960026,0.960573,0.950262,0.947556
149,0.950152,0.944763,0.937082,0.948675,0.931267,0.927419,0.906586,0.954193,0.939353,0.940047,0.927419,0.952925
150,0.963294,0.965471,0.922802,0.963702,0.968905,0.970164,0.912917,0.953268,0.968243,0.969597,0.92113,0.963946
151,0.948868,0.965633,0.932763,0.938909,0.92367,0.925301,0.92376,0.896006,0.935391,0.948148,0.932438,0.910507
152,0.949731,0.964217,0.965182,0.95,0.923403,0.940138,0.964688,0.963401,0.936947,0.956873,0.965854,0.963176
153,0.943505,0.955521,0.965021,0.95752,0.956002,0.954789,0.941586,0.948747,0.955178,0.955939,0.955831,0.958684
154,0.969499,0.973159,0.955483,0.977124,0.965555,0.969057,0.94414,0.964299,0.970051,0.976346,0.955791,0.967835
155,0.956579,0.94624,0.949518,0.925498,0.944407,0.915488,0.934492,0.96609,0.961526,0.932358,0.941667,0.944897
156,0.911775,0.918949,0.901947,0.928192,0.952175,0.889006,0.928748,0.921344,0.9353,0.905256,0.914008,0.935403
157,0.906785,0.8981,0.942645,0.8979,0.934246,0.910231,0.9261,0.924021,0.921673,0.906126,0.932751,0.91016
158,0.948655,0.951517,0.946868,0.963707,0.974395,0.906841,0.953652,0.945946,0.964574,0.935675,0.953488,0.955944
159,0.959563,0.898823,0.932049,0.945966,0.92448,0.941697,0.922722,0.937179,0.946676,0.925544,0.934867,0.950018
160,0.88285,0.909677,0.932166,0.904737,0.911623,0.893082,0.8624,0.929795,0.900585,0.905269,0.90948,0.927095
161,0.976392,0.971691,0.957178,0.957162,0.966036,0.966585,0.949345,0.9609,0.974278,0.973286,0.955508,0.964434
162,0.970294,0.965152,0.941115,0.959239,0.95951,0.967885,0.91655,0.961969,0.971468,0.966177,0.930575,0.960312
163,0.942857,0.963184,0.934114,0.939229,0.955972,0.944824,0.876195,0.943683,0.955119,0.956565,0.927327,0.940945
164,0.779196,0.785729,0.726437,0.762453,0.796568,0.735466,0.722977,0.776266,0.800126,0.77171,0.72465,0.772499
165,0.970522,0.983545,0.970434,0.983446,0.976119,0.976021,0.950562,0.970741,0.975364,0.981252,0.964406,0.978723
166,0.95618,0.94857,0.931973,0.95082,0.936306,0.944344,0.912489,0.947304,0.947926,0.951932,0.926148,0.95341
167,0.97967,0.971154,0.921082,0.971014,0.972382,0.968846,0.920341,0.966717,0.976967,0.974576,0.921736,0.970331
168,0.940184,0.954718,0.971418,0.944951,0.944018,0.951985,0.936782,0.921101,0.940545,0.955944,0.963588,0.930726
169,0.972185,0.97346,0.924344,0.951364,0.973746,0.971755,0.924579,0.980372,0.979675,0.976957,0.926599,0.968291
170,0.965465,0.959774,0.921369,0.955844,0.944083,0.946975,0.883491,0.957246,0.964571,0.956473,0.906132,0.95509
171,0.951513,0.940722,0.949622,0.975974,0.973626,0.951103,0.944546,0.970481,0.971073,0.949577,0.95706,0.97378
172,0.957265,0.909305,0.930128,0.94543,0.950676,0.913219,0.935529,0.904356,0.958063,0.908999,0.937893,0.926012
173,0.926154,0.920755,0.913128,0.909901,0.925977,0.942407,0.920474,0.940597,0.926345,0.931389,0.917519,0.934062
174,0.915361,0.930368,0.935644,0.934875,0.918264,0.937356,0.928433,0.928544,0.922684,0.940426,0.935125,0.932558
175,0.959039,0.969356,0.912236,0.936289,0.969325,0.940983,0.91012,0.959066,0.968313,0.957325,0.917232,0.944003
176,0.931701,0.935783,0.894417,0.922023,0.944049,0.944706,0.938204,0.944887,0.939969,0.942421,0.914667,0.932642
177,0.948357,0.928595,0.907479,0.941744,0.919788,0.914407,0.884839,0.904496,0.935731,0.921485,0.899838,0.918705
178,0.974199,0.948846,0.939533,0.951057,0.936403,0.954213,0.935471,0.928626,0.962456,0.953059,0.953899,0.937332
179,0.929724,0.87695,0.911748,0.923611,0.851221,0.961761,0.707388,0.90625,0.916188,0.932676,0.895101,0.923919
