image_id,attenunet_prnu_illum_dice,attenunet_prnu_freq_dice,attenunet_freq_illum_dice,attenunet_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
78,0.97052,0.983016,0.97394,0.982527,0.012007,-0.000489,0.008587,
79,0.980413,0.979496,0.983665,0.976216,-0.004197,-0.00328,-0.007449,
80,0.960333,0.969133,0.931708,0.978018,0.017685,0.008885,0.04631,
81,0.978438,0.972085,0.973229,0.974954,-0.003484,0.002869,0.001725,
82,0.976873,0.974387,0.987987,0.974057,-0.002816,-0.00033,-0.01393,
83,0.974995,0.965894,0.957567,0.966799,-0.008196,0.000905,0.009232,
84,0.979744,0.978392,0.981085,0.980476,0.000732,0.002084,-0.000609,
85,0.971119,0.97696,0.960936,0.953852,-0.017267,-0.023108,-0.007084,
86,0.981507,0.981294,0.932567,0.987303,0.005796,0.006009,0.054736,
87,0.987111,0.980602,0.963027,0.9797,-0.007411,-0.000902,0.016673,
88,0.984551,0.974077,0.972057,0.985307,0.000756,0.01123,0.01325,
89,0.956412,0.965285,0.903518,0.956244,-0.000168,-0.009041,0.052726,
90,0.987134,0.981053,0.949159,0.982196,-0.004938,0.001143,0.033037,
91,0.96262,0.955258,0.95489,0.95952,-0.0031,0.004262,0.00463,
92,0.972523,0.977704,0.956763,0.976849,0.004326,-0.000855,0.020086,
93,0.939179,0.963314,0.943048,0.948373,0.009194,-0.014941,0.005325,
94,0.975576,0.976334,0.975215,0.981824,0.006248,0.00549,0.006609,
95,0.965049,0.969512,0.934736,0.979035,0.013986,0.009523,0.044299,
96,0.972291,0.978118,0.964467,0.977849,0.005558,-0.000269,0.013382,
97,0.975827,0.950809,0.924599,0.97429,-0.001537,0.023481,0.049691,
98,0.980513,0.970708,0.983282,0.964422,-0.016091,-0.006286,-0.01886,
99,0.986423,0.982169,0.983614,0.96684,-0.019583,-0.015329,-0.016774,
100,0.977601,0.978986,0.972745,0.976554,-0.001047,-0.002432,0.003809,
101,0.963468,0.965545,0.953033,0.960848,-0.00262,-0.004697,0.007815,
102,0.974767,0.968814,0.977031,0.97713,0.002363,0.008316,0.000099,
103,0.971479,0.964747,0.9763,0.969062,-0.002417,0.004315,-0.007238,
104,0.985213,0.982456,0.974924,0.972267,-0.012946,-0.010189,-0.002657,
105,0.972844,0.966316,0.965564,0.970962,-0.001882,0.004646,0.005398,
106,0.982308,0.974187,0.967016,0.9777,-0.004608,0.003513,0.010684,
107,0.964055,0.955406,0.95042,0.963788,-0.000267,0.008382,0.013368,
108,0.986353,0.976927,0.974825,0.976186,-0.010167,-0.000741,0.001361,
109,0.968813,0.976048,0.978526,0.978261,0.009448,0.002213,-0.000265,
110,0.975012,0.984681,0.979136,0.978496,0.003484,-0.006185,-0.00064,
111,0.977082,0.966134,0.958643,0.974732,-0.00235,0.008598,0.016089,
112,0.973524,0.972706,0.960091,0.970363,-0.003161,-0.002343,0.010272,
113,0.93992,0.961,0.916216,0.935818,-0.004102,-0.025182,0.019602,
114,0.979559,0.972939,0.970783,0.984147,0.004588,0.011208,0.013364,
115,0.972398,0.972658,0.96177,0.963863,-0.008535,-0.008795,0.002093,
116,0.963684,0.962562,0.962223,0.97005,0.006366,0.007488,0.007827,
117,0.965656,0.955249,0.949915,0.96036,-0.005296,0.005111,0.010445,
118,0.938528,0.949543,0.910266,0.906589,-0.031939,-0.042954,-0.003677,
119,0.973624,0.952896,0.95319,0.969402,-0.004222,0.016506,0.016212,
120,0.961732,0.978723,0.960931,0.97034,0.008608,-0.008383,0.009409,
121,0.981407,0.971009,0.969778,0.979897,-0.00151,0.008888,0.010119,
122,0.972641,0.970083,0.962355,0.964473,-0.008168,-0.00561,0.002118,
123,0.956507,0.96651,0.955695,0.963511,0.007004,-0.002999,0.007816,
124,0.96,0.961433,0.957421,0.956789,-0.003211,-0.004644,-0.000632,
125,0.961487,0.950011,0.947652,0.959024,-0.002463,0.009013,0.011372,
126,0.984823,0.984812,0.978185,0.983409,-0.001414,-0.001403,0.005224,
127,0.974016,0.972931,0.953303,0.979282,0.005266,0.006351,0.025979,
128,0.983601,0.986306,0.981653,0.97517,-0.008431,-0.011136,-0.006483,
129,0.963195,0.964226,0.954415,0.964701,0.001506,0.000475,0.010286,
130,0.974909,0.965455,0.967555,0.976169,0.00126,0.010714,0.008614,
131,0.986083,0.981703,0.975433,0.961869,-0.024214,-0.019834,-0.013564,
132,0.983551,0.985702,0.955646,0.978335,-0.005216,-0.007367,0.022689,
133,0.973988,0.980024,0.963377,0.979937,0.005949,-0.000087,0.01656,
134,0,0,0,0,0,0,0,
135,0.961732,0.979992,0.926067,0.973391,0.011659,-0.006601,0.047324,
136,0.974865,0.949878,0.934012,0.982149,0.007284,0.032271,0.048137,
137,0.986749,0.976292,0.967937,0.986745,-0.000004,0.010453,0.018808,
138,0.96112,0.968928,0.957286,0.952164,-0.008956,-0.016764,-0.005122,
139,0.956466,0.970837,0.980158,0.988851,0.032385,0.018014,0.008693,
140,0.971528,0.980472,0.949643,0.981694,0.010166,0.001222,0.032051,
141,0.969166,0.966985,0.868814,0.949501,-0.019665,-0.017484,0.080687,
142,0.939456,0.950212,0.939404,0.962114,0.022658,0.011902,0.02271,
143,0.98026,0.973639,0.927053,0.968501,-0.011759,-0.005138,0.041448,
144,0.975877,0.980579,0.961701,0.97087,-0.005007,-0.009709,0.009169,
145,0.966093,0.982994,0.95187,0.966303,0.00021,-0.016691,0.014433,
146,0.977587,0.976194,0.969144,0.979968,0.002381,0.003774,0.010824,
147,0.944606,0.936272,0.965738,0.943403,-0.001203,0.007131,-0.022335,
148,0.976667,0.973045,0.976064,0.964262,-0.012405,-0.008783,-0.011802,
149,0.96441,0.962343,0.951005,0.97656,0.01215,0.014217,0.025555,
150,0.984207,0.984856,0.954476,0.976075,-0.008132,-0.008781,0.021599,
151,0.960321,0.961202,0.960369,0.945151,-0.01517,-0.016051,-0.015218,
152,0.960176,0.969146,0.982027,0.981359,0.021183,0.012213,-0.000668,
153,0.977506,0.976872,0.969914,0.9737,-0.003806,-0.003172,0.003786,
154,0.982476,0.984285,0.971268,0.981825,-0.000651,-0.00246,0.010557,
155,0.971409,0.95588,0.966137,0.982753,0.011344,0.026873,0.016616,
156,0.975502,0.941242,0.963058,0.959062,-0.01644,0.01782,-0.003996,
157,0.966005,0.953006,0.961632,0.96051,-0.005495,0.007504,-0.001122,
158,0.987031,0.951145,0.976276,0.972222,-0.014809,0.021077,-0.004054,
159,0.960758,0.969973,0.959808,0.967571,0.006813,-0.002402,0.007763,
