image_id,unetpp_prnu_illum_iou,unetpp_prnu_freq_iou,unetpp_freq_illum_iou,unetpp_all_iou,diff_prnu_illum_iou,diff_prnu_freq_iou,diff_freq_illum_iou,notes
0,0.970818,0.963253,0.922843,0.969215,-0.001603,0.005962,0.046372,
1,0.952806,0.954604,0.93591,0.945249,-0.007557,-0.009355,0.009339,
2,0.942455,0.938419,0.921994,0.932862,-0.009593,-0.005557,0.010868,
3,0.92548,0.963012,0.949675,0.954747,0.029267,-0.008265,0.005072,
4,0.926904,0.935931,0.941154,0.955455,0.028551,0.019524,0.014301,
5,0.949393,0.965925,0.953232,0.944154,-0.005239,-0.021771,-0.009078,
6,0.957272,0.959788,0.945335,0.964972,0.0077,0.005184,0.019637,
7,0.962694,0.953409,0.93926,0.937584,-0.02511,-0.015825,-0.001676,
8,0.947368,0.949604,0.941135,0.95348,0.006112,0.003876,0.012345,
9,0.954251,0.964396,0.940395,0.944802,-0.009449,-0.019594,0.004407,
10,0.961758,0.959382,0.90271,0.957672,-0.004086,-0.00171,0.054962,
11,0.930603,0.956114,0.926767,0.935869,0.005266,-0.020245,0.009102,
12,0.979381,0.976436,0.936555,0.974274,-0.005107,-0.002162,0.037719,
13,0.94271,0.967081,0.918015,0.958104,0.015394,-0.008977,0.040089,
14,0.905697,0.9138,0.884155,0.901435,-0.004262,-0.012365,0.01728,
15,0.945553,0.933492,0.945946,0.943691,-0.001862,0.010199,-0.002255,
16,0.961763,0.968647,0.96443,0.959957,-0.001806,-0.00869,-0.004473,
17,0.917266,0.902975,0.873225,0.910421,-0.006845,0.007446,0.037196,
18,0.935906,0.947402,0.924511,0.966064,0.030158,0.018662,0.041553,
19,0.954668,0.966644,0.950984,0.959599,0.004931,-0.007045,0.008615,
20,0.971793,0.96412,0.925241,0.954563,-0.01723,-0.009557,0.029322,
21,0.933552,0.943062,0.945581,0.941201,0.007649,-0.001861,-0.00438,
22,0.948375,0.940106,0.894698,0.960526,0.012151,0.02042,0.065828,
23,0.963507,0.972222,0.958219,0.956951,-0.006556,-0.015271,-0.001268,
24,0.95074,0.954944,0.931074,0.958884,0.008144,0.00394,0.02781,
25,0.938737,0.914695,0.955991,0.931618,-0.007119,0.016923,-0.024373,
26,0.973014,0.975094,0.952009,0.97283,-0.000184,-0.002264,0.020821,
27,0.944148,0.937767,0.810453,0.942693,-0.001455,0.004926,0.13224,
28,0.97115,0.938001,0.943101,0.920775,-0.050375,-0.017226,-0.022326,
29,0.850995,0.876761,0.884315,0.8836,0.032605,0.006839,-0.000715,
30,0.970445,0.97391,0.946284,0.969174,-0.001271,-0.004736,0.02289,
31,0.943425,0.962667,0.884128,0.967263,0.023838,0.004596,0.083135,
32,0.912288,0.912935,0.903921,0.897765,-0.014523,-0.01517,-0.006156,
33,0.914274,0.90967,0.827773,0.908983,-0.005291,-0.000687,0.08121,
34,0.904367,0.879518,0.939701,0.899326,-0.005041,0.019808,-0.040375,
35,0.959073,0.964104,0.930672,0.966833,0.00776,0.002729,0.036161,
36,0.948471,0.957288,0.947229,0.958292,0.009821,0.001004,0.011063,
37,0.920659,0.899365,0.894531,0.899414,-0.021245,0.000049,0.004883,
38,0.955848,0.966667,0.947576,0.956202,0.000354,-0.010465,0.008626,
39,0.94077,0.909983,0.838843,0.943057,0.002287,0.033074,0.104214,
40,0.968297,0.959582,0.919795,0.950617,-0.01768,-0.008965,0.030822,
41,0.969276,0.955811,0.971175,0.963768,-0.005508,0.007957,-0.007407,
42,0.926157,0.923948,0.948649,0.925194,-0.000963,0.001246,-0.023455,
43,0.953333,0.961392,0.92068,0.967824,0.014491,0.006432,0.047144,
44,0.952977,0.959372,0.916407,0.975164,0.022187,0.015792,0.058757,
45,0.936116,0.920743,0.944341,0.905367,-0.030749,-0.015376,-0.038974,
46,0.917466,0.874548,0.940491,0.924383,0.006917,0.049835,-0.016108,
47,0.969031,0.965147,0.967323,0.96419,-0.004841,-0.000957,-0.003133,
48,0.946671,0.94076,0.943857,0.95753,0.010859,0.01677,0.013673,
49,0.940031,0.962554,0.946822,0.967604,0.027573,0.00505,0.020782,
50,0.959106,0.950566,0.957093,0.951558,-0.007548,0.000992,-0.005535,
51,0.912842,0.920488,0.860825,0.901823,-0.011019,-0.018665,0.040998,
52,0.973373,0.952759,0.969573,0.982554,0.009181,0.029795,0.012981,
53,0.950826,0.935287,0.869549,0.962792,0.011966,0.027505,0.093243,
54,0.975441,0.966922,0.950225,0.97314,-0.002301,0.006218,0.022915,
55,0.878462,0.923738,0.867292,0.873892,-0.00457,-0.049846,0.0066,
56,0.934252,0.955477,0.959813,0.945042,0.01079,-0.010435,-0.014771,
57,0.949227,0.928045,0.932404,0.951166,0.001939,0.023121,0.018762,
58,0.942126,0.949842,0.968494,0.945871,0.003745,-0.003971,-0.022623,
59,0.934541,0.89833,0.914077,0.92487,-0.009671,0.02654,0.010793,
60,0.933636,0.919007,0.941152,0.909454,-0.024182,-0.009553,-0.031698,
61,0.915713,0.937761,0.888734,0.936568,0.020855,-0.001193,0.047834,
62,0.945185,0.960046,0.927692,0.95669,0.011505,-0.003356,0.028998,
63,0.889793,0.928158,0.906939,0.936385,0.046592,0.008227,0.029446,
64,0.973538,0.960247,0.96753,0.972541,-0.000997,0.012294,0.005011,
65,0.973538,0.960247,0.96753,0.972541,-0.000997,0.012294,0.005011,
66,0.93637,0.940351,0.915718,0.941917,0.005547,0.001566,0.026199,
67,0.961715,0.932359,0.955749,0.945825,-0.01589,0.013466,-0.009924,
68,0.970206,0.946074,0.945312,0.966456,-0.00375,0.020382,0.021144,
69,0.921162,0.929844,0.941132,0.935629,0.014467,0.005785,-0.005503,
70,0.923301,0.959942,0.924396,0.951087,0.027786,-0.008855,0.026691,
71,0.95127,0.938255,0.939973,0.950842,-0.000428,0.012587,0.010869,
72,0.961246,0.950909,0.952155,0.963477,0.002231,0.012568,0.011322,
73,0.96102,0.960058,0.953018,0.944989,-0.016031,-0.015069,-0.008029,
74,0.956211,0.961451,0.960938,0.965327,0.009116,0.003876,0.004389,
75,0.942088,0.942378,0.919968,0.961948,0.01986,0.01957,0.04198,
76,0.943396,0.954138,0.90953,0.941869,-0.001527,-0.012269,0.032339,
77,0.930715,0.96411,0.885435,0.962811,0.032096,-0.001299,0.077376,
78,0.963455,0.959486,0.948624,0.960092,-0.003363,0.000606,0.011468,
79,0.975142,0.96282,0.924797,0.958511,-0.016631,-0.004309,0.033714,
80,0.942479,0.954469,0.902765,0.956751,0.014272,0.002282,0.053986,
81,0.963504,0.96553,0.930938,0.971816,0.008312,0.006286,0.040878,
82,0.947777,0.963472,0.977842,0.934266,-0.013511,-0.029206,-0.043576,
83,0.961286,0.956239,0.934822,0.957286,-0.004,0.001047,0.022464,
84,0.966366,0.936585,0.943213,0.969466,0.0031,0.032881,0.026253,
85,0.955283,0.949292,0.941956,0.921762,-0.033521,-0.02753,-0.020194,
86,0.954985,0.961317,0.912846,0.969303,0.014318,0.007986,0.056457,
87,0.966585,0.966922,0.901445,0.967562,0.000977,0.00064,0.066117,
