image_id,ensemble_prnu_illum_iou,ensemble_prnu_freq_iou,ensemble_freq_illum_iou,ensemble_all_iou,diff_prnu_illum_iou,diff_prnu_freq_iou,diff_freq_illum_iou,notes
0,0.965763,0.966984,0.942568,0.964346,-0.001417,-0.002638,0.021778,
1,0.945827,0.941343,0.947588,0.945283,-0.000544,0.00394,-0.002305,
2,0.932459,0.948234,0.936603,0.939778,0.007319,-0.008456,0.003175,
3,0.93842,0.957721,0.959596,0.959202,0.020782,0.001481,-0.000394,
4,0.934095,0.936106,0.95168,0.944088,0.009993,0.007982,-0.007592,
5,0.942281,0.965984,0.955188,0.957143,0.014862,-0.008841,0.001955,
6,0.957802,0.959184,0.94008,0.962838,0.005036,0.003654,0.022758,
7,0.968056,0.949725,0.94454,0.934415,-0.033641,-0.01531,-0.010125,
8,0.946877,0.961235,0.948024,0.961085,0.014208,-0.00015,0.013061,
9,0.970941,0.964715,0.957911,0.949146,-0.021795,-0.015569,-0.008765,
10,0.9631,0.958822,0.902439,0.966412,0.003312,0.00759,0.063973,
11,0.935252,0.962907,0.919384,0.956571,0.021319,-0.006336,0.037187,
12,0.981905,0.98084,0.94174,0.983782,0.001877,0.002942,0.042042,
13,0.945956,0.972824,0.92708,0.955213,0.009257,-0.017611,0.028133,
14,0.919172,0.907157,0.898324,0.911417,-0.007755,0.00426,0.013093,
15,0.952268,0.931105,0.947927,0.952413,0.000145,0.021308,0.004486,
16,0.960713,0.959766,0.958884,0.958755,-0.001958,-0.001011,-0.000129,
17,0.903009,0.904003,0.870268,0.911701,0.008692,0.007698,0.041433,
18,0.95,0.947737,0.959459,0.955252,0.005252,0.007515,-0.004207,
19,0.960995,0.972156,0.94935,0.970946,0.009951,-0.00121,0.021596,
20,0.964012,0.963119,0.919882,0.952741,-0.011271,-0.010378,0.032859,
21,0.940441,0.948588,0.941946,0.942952,0.002511,-0.005636,0.001006,
22,0.956655,0.947147,0.918161,0.955367,-0.001288,0.00822,0.037206,
23,0.971679,0.974878,0.971859,0.959176,-0.012503,-0.015702,-0.012683,
24,0.953614,0.95639,0.91605,0.954683,0.001069,-0.001707,0.038633,
25,0.932538,0.91925,0.969369,0.925302,-0.007236,0.006052,-0.044067,
26,0.981089,0.969392,0.961092,0.971107,-0.009982,0.001715,0.010015,
27,0.945878,0.956974,0.800484,0.950502,0.004624,-0.006472,0.150018,
28,0.956106,0.947664,0.958125,0.913205,-0.042901,-0.034459,-0.04492,
29,0.922327,0.911268,0.918852,0.894423,-0.027904,-0.016845,-0.024429,
30,0.974084,0.972724,0.953731,0.973053,-0.001031,0.000329,0.019322,
31,0.955048,0.961876,0.911103,0.96374,0.008692,0.001864,0.052637,
32,0.918706,0.898236,0.886289,0.868167,-0.050539,-0.030069,-0.018122,
33,0.907784,0.916467,0.822335,0.924182,0.016398,0.007715,0.101847,
34,0.916161,0.863799,0.962302,0.891111,-0.02505,0.027312,-0.071191,
35,0.966739,0.965905,0.930561,0.972372,0.005633,0.006467,0.041811,
36,0.953224,0.96275,0.941176,0.962358,0.009134,-0.000392,0.021182,
37,0.927602,0.911067,0.903337,0.903969,-0.023633,-0.007098,0.000632,
38,0.959192,0.965949,0.9427,0.968198,0.009006,0.002249,0.025498,
39,0.940671,0.917984,0.836296,0.945407,0.004736,0.027423,0.109111,
40,0.96687,0.96305,0.933898,0.961422,-0.005448,-0.001628,0.027524,
41,0.968716,0.970784,0.965947,0.965855,-0.002861,-0.004929,-0.000092,
42,0.930944,0.922977,0.960678,0.933965,0.003021,0.010988,-0.026713,
43,0.96865,0.962174,0.942525,0.950219,-0.018431,-0.011955,0.007694,
44,0.959114,0.959686,0.927997,0.95883,-0.000284,-0.000856,0.030833,
45,0.936131,0.923214,0.93902,0.909996,-0.026135,-0.013218,-0.029024,
46,0.906727,0.86578,0.943692,0.938161,0.031434,0.072381,-0.005531,
47,0.971532,0.969356,0.973732,0.962399,-0.009133,-0.006957,-0.011333,
48,0.95318,0.947823,0.954515,0.965913,0.012733,0.01809,0.011398,
49,0.973595,0.959247,0.961468,0.966972,-0.006623,0.007725,0.005504,
50,0.949381,0.951091,0.93634,0.958602,0.009221,0.007511,0.022262,
51,0.910841,0.918679,0.874445,0.892814,-0.018027,-0.025865,0.018369,
52,0.984404,0.962976,0.97006,0.958563,-0.025841,-0.004413,-0.011497,
53,0.956204,0.936954,0.888805,0.96238,0.006176,0.025426,0.073575,
54,0.974991,0.977115,0.941136,0.967984,-0.007007,-0.009131,0.026848,
55,0.88706,0.926156,0.871778,0.893511,0.006451,-0.032645,0.021733,
56,0.939513,0.946604,0.963443,0.948609,0.009096,0.002005,-0.014834,
57,0.940841,0.935624,0.944756,0.945525,0.004684,0.009901,0.000769,
58,0.953025,0.945232,0.963366,0.947327,-0.005698,0.002095,-0.016039,
59,0.935855,0.934965,0.924376,0.934566,-0.001289,-0.000399,0.01019,
60,0.92623,0.92638,0.944966,0.9136,-0.01263,-0.01278,-0.031366,
61,0.904583,0.93437,0.865243,0.929213,0.02463,-0.005157,0.06397,
62,0.958751,0.964327,0.921093,0.961435,0.002684,-0.002892,0.040342,
63,0.915813,0.92714,0.896994,0.925585,0.009772,-0.001555,0.028591,
