image_id,unetpp_prnu_illum_dice,unetpp_prnu_freq_dice,unetpp_freq_illum_dice,unetpp_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
78,0.981387,0.979324,0.973635,0.97964,-0.001747,0.000316,0.006005,
79,0.987415,0.981058,0.960929,0.978816,-0.008599,-0.002242,0.017887,
80,0.970388,0.976704,0.948898,0.977898,0.00751,0.001194,0.029,
81,0.981413,0.982463,0.964234,0.985706,0.004293,0.003243,0.021472,
82,0.973188,0.981396,0.988797,0.966016,-0.007172,-0.01538,-0.022781,
83,0.980261,0.97763,0.966313,0.978177,-0.002084,0.000547,0.011864,
84,0.982895,0.967254,0.970777,0.984496,0.001601,0.017242,0.013719,
85,0.97713,0.973987,0.97011,0.959289,-0.017841,-0.014698,-0.010821,
86,0.976974,0.980277,0.954437,0.984412,0.007438,0.004135,0.029975,
87,0.983008,0.983183,0.948169,0.983514,0.000506,0.000331,0.035345,
88,0.98091,0.970769,0.97267,0.981992,0.001082,0.011223,0.009322,
89,0.961016,0.959355,0.903928,0.962227,0.001211,0.002872,0.058299,
90,0.981148,0.983558,0.955578,0.988797,0.007649,0.005239,0.033219,
91,0.94957,0.919472,0.91962,0.945713,-0.003857,0.026241,0.026093,
92,0.96832,0.965895,0.952456,0.97192,0.0036,0.006025,0.019464,
93,0.949503,0.934506,0.95614,0.95001,0.000507,0.015504,-0.00613,
94,0.971897,0.970231,0.980433,0.98759,0.015693,0.017359,0.007157,
95,0.978462,0.980232,0.946053,0.966003,-0.012459,-0.014229,0.01995,
96,0.975397,0.981105,0.943098,0.971746,-0.003651,-0.009359,0.028648,
97,0.958117,0.965171,0.956575,0.971842,0.013725,0.006671,0.015267,
98,0.957275,0.959142,0.964509,0.963618,0.006343,0.004476,-0.000891,
99,0.982596,0.953619,0.976195,0.985391,0.002795,0.031772,0.009196,
100,0.979313,0.977203,0.976178,0.976006,-0.003307,-0.001197,-0.000172,
101,0.950743,0.970991,0.959553,0.960512,0.009769,-0.010479,0.000959,
102,0.972834,0.973402,0.969561,0.982618,0.009784,0.009216,0.013057,
103,0.968867,0.947847,0.977328,0.956111,-0.012756,0.008264,-0.021217,
104,0.977706,0.98028,0.980364,0.988368,0.010662,0.008088,0.008004,
105,0.980567,0.973356,0.978191,0.975,-0.005567,0.001644,-0.003191,
106,0.982354,0.976307,0.975172,0.977197,-0.005157,0.00089,0.002025,
107,0.958622,0.974773,0.959291,0.966494,0.007872,-0.008279,0.007203,
108,0.979775,0.97839,0.977391,0.974508,-0.005267,-0.003882,-0.002883,
109,0.9794,0.979317,0.981911,0.982274,0.002874,0.002957,0.000363,
110,0.982375,0.9846,0.979201,0.98644,0.004065,0.00184,0.007239,
111,0.969983,0.977224,0.9359,0.970576,0.000593,-0.006648,0.034676,
112,0.972303,0.967229,0.954032,0.960671,-0.011632,-0.006558,0.006639,
113,0.947169,0.949061,0.934592,0.951739,0.00457,0.002678,0.017147,
114,0.975742,0.975861,0.966811,0.977183,0.001441,0.001322,0.010372,
115,0.95404,0.973904,0.976171,0.978921,0.024881,0.005017,0.00275,
116,0.962305,0.965889,0.969372,0.977607,0.015302,0.011718,0.008235,
117,0.980968,0.975659,0.966646,0.969423,-0.011545,-0.006236,0.002777,
118,0.928484,0.964467,0.92085,0.963537,0.035053,-0.00093,0.042687,
119,0.965626,0.957163,0.965377,0.967664,0.002038,0.010501,0.002287,
120,0.97561,0.977857,0.964965,0.964633,-0.010977,-0.013224,-0.000332,
121,0.973167,0.983327,0.973664,0.979762,0.006595,-0.003565,0.006098,
122,0.971963,0.971319,0.966177,0.971441,-0.000522,0.000122,0.005264,
123,0.969383,0.957923,0.945238,0.961739,-0.007644,0.003816,0.016501,
124,0.964378,0.968265,0.957465,0.956401,-0.007977,-0.011864,-0.001064,
125,0.97643,0.974995,0.954044,0.974945,-0.001485,-0.00005,0.020901,
126,0.986481,0.982736,0.983784,0.990273,0.003792,0.007537,0.006489,
127,0.96768,0.975052,0.964346,0.980653,0.012973,0.005601,0.016307,
128,0.985664,0.981665,0.978782,0.977063,-0.008601,-0.004602,-0.001719,
129,0.967755,0.97256,0.973073,0.981336,0.013581,0.008776,0.008263,
130,0.975856,0.958106,0.96194,0.976437,0.000581,0.018331,0.014497,
131,0.990272,0.982684,0.972195,0.983748,-0.006524,0.001064,0.011553,
132,0.989739,0.974111,0.964742,0.987834,-0.001905,0.013723,0.023092,
133,0.981634,0.978731,0.976326,0.973112,-0.008522,-0.005619,-0.003214,
134,0,0,0,0,0,0,0,
135,0.967358,0.977711,0.918949,0.969697,0.002339,-0.008014,0.050748,
136,0.971028,0.93043,0.955306,0.977908,0.00688,0.047478,0.022602,
137,0.988101,0.987539,0.972716,0.987451,-0.00065,-0.000088,0.014735,
138,0.968204,0.960908,0.942211,0.965329,-0.002875,0.004421,0.023118,
139,0.983466,0.961247,0.972031,0.986576,0.00311,0.025329,0.014545,
140,0.977068,0.974645,0.980096,0.986133,0.009065,0.011488,0.006037,
141,0.961575,0.969066,0.875361,0.959988,-0.001587,-0.009078,0.084627,
142,0.947332,0.962975,0.925939,0.95463,0.007298,-0.008345,0.028691,
143,0.949662,0.976058,0.964575,0.981485,0.031823,0.005427,0.01691,
144,0.969106,0.973363,0.957148,0.968417,-0.000689,-0.004946,0.011269,
145,0.974126,0.975141,0.96324,0.975798,0.001672,0.000657,0.012558,
146,0.981305,0.970743,0.97992,0.978344,-0.002961,0.007601,-0.001576,
147,0.95117,0.950175,0.960867,0.942011,-0.009159,-0.008164,-0.018856,
148,0.981371,0.982028,0.967316,0.978097,-0.003274,-0.003931,0.010781,
149,0.974439,0.971597,0.967519,0.973662,-0.000777,0.002065,0.006143,
150,0.981304,0.982432,0.959852,0.981515,0.000211,-0.000917,0.021663,
151,0.973763,0.982516,0.965212,0.968492,-0.005271,-0.014024,0.00328,
152,0.974218,0.981783,0.982282,0.974359,0.000141,-0.007424,-0.007923,
153,0.970931,0.977255,0.982199,0.978299,0.007368,0.001044,-0.0039,
154,0.984513,0.986397,0.977235,0.98843,0.003917,0.002033,0.011195,
155,0.977807,0.972378,0.974106,0.961308,-0.016499,-0.01107,-0.012798,
156,0.953852,0.957763,0.948446,0.962759,0.008907,0.004996,0.014313,
157,0.951114,0.946315,0.970476,0.946204,-0.00491,-0.000111,-0.024272,
