image_id,proposed_iou,proposed_dice,proposed_bf_score,segformer_iou,segformer_dice,segformer_bf_score,diff_iou,diff_dice,diff_bf_score
74,0.973529,0.986587,1,0.973538,0.986592,1,-0.000009,-0.000005,0
75,0.958418,0.978768,1,0.978482,0.989124,1,-0.020064,-0.010356,0
76,0.924938,0.961005,0.994301,0.952847,0.975854,1,-0.027909,-0.014849,-0.005699
77,0.934269,0.966018,1,0.954907,0.976934,1,-0.020638,-0.010916,0
78,0.96627,0.982846,1,0.953686,0.976294,1,0.012584,0.006552,0
79,0.962478,0.98088,1,0.972578,0.986099,1,-0.0101,-0.005219,0
80,0.96257,0.980928,1,0.955034,0.977,1,0.007536,0.003928,0
81,0.978801,0.989287,1,0.977323,0.988531,1,0.001478,0.000756,0
82,0.941634,0.96994,1,0.975662,0.987681,1,-0.034028,-0.017741,0
83,0.963557,0.98144,1,0.944763,0.971597,1,0.018794,0.009843,0
84,0.968663,0.984082,1,0.978472,0.989119,1,-0.009809,-0.005037,0
85,0.913323,0.954698,0.958818,0.966733,0.983085,1,-0.05341,-0.028387,-0.041182
86,0.976557,0.98814,1,0.96418,0.981763,1,0.012377,0.006377,0
87,0.965925,0.982667,1,0.957756,0.978422,1,0.008169,0.004245,0
88,0.973849,0.986751,1,0.975343,0.987518,1,-0.001494,-0.000767,0
89,0.920273,0.958481,0.901426,0.971246,0.985413,1,-0.050973,-0.026932,-0.098574
90,0.972037,0.98582,1,0.979313,0.989548,1,-0.007276,-0.003728,0
91,0.902421,0.948708,0.901829,0.934962,0.966388,1,-0.032541,-0.01768,-0.098171
92,0.95987,0.979524,1,0.970624,0.985093,1,-0.010754,-0.005569,0
93,0.90123,0.948049,0.918259,0.970051,0.984798,1,-0.068821,-0.036749,-0.081741
94,0.971225,0.985403,1,0,0,0,0.971225,0.985403,1
95,0.950217,0.974473,1,0.97663,0.988177,1,-0.026413,-0.013704,0
96,0.961248,0.980241,1,0.971895,0.985747,1,-0.010647,-0.005506,0
97,0.950161,0.974444,1,0.960035,0.97961,1,-0.009874,-0.005166,0
98,0.936062,0.966975,1,0.971579,0.985585,1,-0.035517,-0.01861,0
99,0.954863,0.97691,1,0.979481,0.989634,1,-0.024618,-0.012724,0
100,0.955229,0.977102,1,0.976678,0.988202,1,-0.021449,-0.0111,0
101,0.925897,0.961523,0.912898,0.936271,0.967087,0.903212,-0.010374,-0.005564,0.009686
102,0.960347,0.979772,1,0.957558,0.978319,1,0.002789,0.001453,0
103,0.927798,0.962547,0.961749,0.975895,0.987801,1,-0.048097,-0.025254,-0.038251
104,0.970619,0.985091,1,0.971009,0.985292,1,-0.00039,-0.000201,0
105,0.950435,0.974588,1,0.952801,0.97583,1,-0.002366,-0.001242,0
106,0.964095,0.981719,1,0.940797,0.969496,1,0.023298,0.012223,0
107,0.934439,0.966108,0.994065,0.935858,0.966866,1,-0.001419,-0.000758,-0.005935
108,0.961061,0.980144,1,0.97894,0.989358,1,-0.017879,-0.009214,0
109,0.963863,0.981599,1,0.976729,0.988227,1,-0.012866,-0.006628,0
110,0.966741,0.983089,1,0.969942,0.984742,1,-0.003201,-0.001653,0
111,0.947938,0.973273,1,0.948225,0.973425,1,-0.000287,-0.000152,0
112,0.948037,0.973325,0.917397,0.971352,0.985468,1,-0.023315,-0.012143,-0.082603
113,0.893735,0.943886,0.923789,0.960908,0.980064,1,-0.067173,-0.036178,-0.076211
114,0.964363,0.981858,1,0.968925,0.984217,1,-0.004562,-0.002359,0
115,0.943152,0.970745,0.973255,0.969427,0.984476,1,-0.026275,-0.013731,-0.026745
116,0.948095,0.973356,1,0.958695,0.978912,1,-0.0106,-0.005556,0
117,0.930912,0.96422,0.98795,0.974141,0.986901,1,-0.043229,-0.022681,-0.01205
118,0.854959,0.921809,0.734185,0.970166,0.984857,1,-0.115207,-0.063048,-0.265815
119,0.944911,0.971675,1,0.970768,0.985167,1,-0.025857,-0.013492,0
120,0.93975,0.968939,1,0.964159,0.981753,1,-0.024409,-0.012814,0
121,0.967054,0.983251,1,0.959805,0.97949,1,0.007249,0.003761,0
122,0.937908,0.96796,1,0.97773,0.98874,1,-0.039822,-0.02078,0
123,0.929175,0.963287,1,0.96248,0.980881,1,-0.033305,-0.017594,0
124,0.921148,0.958956,0.846995,0.980268,0.990035,1,-0.05912,-0.031079,-0.153005
