image_id,proposed_iou,proposed_dice,diff_id_iou,diff_id_dice,two_stream_iou,two_stream_dice,xceptionnet_iou,xceptionnet_dice,segformer_iou,segformer_dice
78,0.96627,0.982846,0.963419,0.981369,0.968397,0.983945,0.949203,0.97394,0.953686,0.976294
79,0.962478,0.98088,0.976353,0.988035,0.977257,0.988497,0.967856,0.983665,0.972578,0.986099
80,0.96257,0.980928,0.949769,0.974237,0.95941,0.979284,0.872148,0.931708,0.955034,0.977
81,0.978801,0.989287,0.97092,0.985245,0.96537,0.98238,0.947854,0.973229,0.977323,0.988531
82,0.941634,0.96994,0.980804,0.990309,0.977826,0.988789,0.976259,0.987987,0.975662,0.987681
83,0.963557,0.98144,0.94672,0.972631,0.9537,0.976302,0.918588,0.957567,0.944763,0.971597
84,0.968663,0.984082,0.979116,0.989448,0.977739,0.988744,0.962873,0.981085,0.978472,0.989119
85,0.913323,0.954698,0.981048,0.990434,0.944337,0.971372,0.924809,0.960936,0.966733,0.983085
86,0.976557,0.98814,0.973658,0.986653,0.973878,0.986766,0.873654,0.932567,0.96418,0.981763
87,0.965925,0.982667,0.975806,0.987755,0.960619,0.979914,0.928691,0.963027,0.957756,0.978422
88,0.973849,0.986751,0.974053,0.986856,0.970273,0.984912,0.945633,0.972057,0.975343,0.987518
89,0.920273,0.958481,0.938879,0.968476,0.971096,0.985336,0.824016,0.903518,0.971246,0.985413
90,0.972037,0.98582,0.976936,0.988333,0.977723,0.988736,0.903238,0.949159,0.979313,0.989548
91,0.902421,0.948708,0.926192,0.961682,0.943694,0.971031,0.913674,0.95489,0.934962,0.966388
92,0.95987,0.979524,0.976442,0.988081,0.977929,0.988842,0.91711,0.956763,0.970624,0.985093
93,0.90123,0.948049,0.969463,0.984495,0.979417,0.989602,0.892233,0.943048,0.970051,0.984798
94,0.971225,0.985403,0,0,0,0,0.951629,0.975215,0,0
95,0.950217,0.974473,0.958167,0.978637,0.965055,0.982217,0.877469,0.934736,0.97663,0.988177
96,0.961248,0.980241,0.953552,0.976224,0.955807,0.977404,0.931373,0.964467,0.971895,0.985747
97,0.950161,0.974444,0.948052,0.973333,0.956814,0.97793,0.859772,0.924599,0.960035,0.97961
98,0.936062,0.966975,0.966519,0.982974,0.974848,0.987264,0.967113,0.983282,0.971579,0.985585
99,0.954863,0.97691,0.977453,0.988598,0.975334,0.987513,0.967755,0.983614,0.979481,0.989634
100,0.955229,0.977102,0.970887,0.985229,0.969101,0.984308,0.946936,0.972745,0.976678,0.988202
101,0.925897,0.961523,0.963041,0.981172,0.936371,0.96714,0.91028,0.953033,0.936271,0.967087
102,0.960347,0.979772,0.96539,0.98239,0.958918,0.979028,0.955094,0.977031,0.957558,0.978319
103,0.927798,0.962547,0.947189,0.972878,0.963215,0.981263,0.953697,0.9763,0.975895,0.987801
104,0.970619,0.985091,0.960531,0.979868,0.968025,0.983753,0.951076,0.974924,0.971009,0.985292
105,0.950435,0.974588,0.954946,0.976954,0.97033,0.984942,0.93342,0.965564,0.952801,0.97583
106,0.964095,0.981719,0.970121,0.984834,0.973424,0.986533,0.936138,0.967016,0.940797,0.969496
107,0.934439,0.966108,0.963007,0.981155,0.946094,0.9723,0.905524,0.95042,0.935858,0.966866
108,0.961061,0.980144,0.979434,0.98961,0.977311,0.988525,0.950887,0.974825,0.97894,0.989358
109,0.963863,0.981599,0.975984,0.987846,0.960829,0.980024,0.957955,0.978526,0.976729,0.988227
110,0.966741,0.983089,0.966052,0.982733,0.947725,0.973161,0.959125,0.979136,0.969942,0.984742
111,0.947938,0.973273,0.951822,0.975317,0.967387,0.983423,0.92057,0.958643,0.948225,0.973425
112,0.948037,0.973325,0.981546,0.990687,0.968302,0.983896,0.923245,0.960091,0.971352,0.985468
113,0.893735,0.943886,0.968657,0.984079,0.941975,0.970121,0.845387,0.916216,0.960908,0.980064
114,0.964363,0.981858,0.963192,0.981251,0.964519,0.981939,0.943225,0.970783,0.968925,0.984217
115,0.943152,0.970745,0.97496,0.987321,0.963139,0.981224,0.926355,0.96177,0.969427,0.984476
116,0.948095,0.973356,0.966969,0.983207,0.963636,0.981481,0.927197,0.962223,0.958695,0.978912
117,0.930912,0.96422,0.96584,0.982623,0.97559,0.987644,0.904608,0.949915,0.974141,0.986901
118,0.854959,0.921809,0.961412,0.980327,0.964727,0.982047,0.83531,0.910266,0.970166,0.984857
