image_id,proposed_iou,proposed_dice,proposed_bf_score,two_stream_iou,two_stream_dice,two_stream_bf_score,diff_iou,diff_dice,diff_bf_score
74,0.973529,0.986587,1,0.954399,0.976668,1,0.01913,0.009919,0
75,0.958418,0.978768,1,0.962933,0.981117,1,-0.004515,-0.002349,0
76,0.924938,0.961005,0.994301,0.953733,0.976319,1,-0.028795,-0.015314,-0.005699
77,0.934269,0.966018,1,0.956916,0.977984,1,-0.022647,-0.011966,0
78,0.96627,0.982846,1,0.968397,0.983945,1,-0.002127,-0.001099,0
79,0.962478,0.98088,1,0.977257,0.988497,1,-0.014779,-0.007617,0
80,0.96257,0.980928,1,0.95941,0.979284,1,0.00316,0.001644,0
81,0.978801,0.989287,1,0.96537,0.98238,1,0.013431,0.006907,0
82,0.941634,0.96994,1,0.977826,0.988789,1,-0.036192,-0.018849,0
83,0.963557,0.98144,1,0.9537,0.976302,1,0.009857,0.005138,0
84,0.968663,0.984082,1,0.977739,0.988744,1,-0.009076,-0.004662,0
85,0.913323,0.954698,0.958818,0.944337,0.971372,1,-0.031014,-0.016674,-0.041182
86,0.976557,0.98814,1,0.973878,0.986766,1,0.002679,0.001374,0
87,0.965925,0.982667,1,0.960619,0.979914,1,0.005306,0.002753,0
88,0.973849,0.986751,1,0.970273,0.984912,1,0.003576,0.001839,0
89,0.920273,0.958481,0.901426,0.971096,0.985336,1,-0.050823,-0.026855,-0.098574
90,0.972037,0.98582,1,0.977723,0.988736,1,-0.005686,-0.002916,0
91,0.902421,0.948708,0.901829,0.943694,0.971031,1,-0.041273,-0.022323,-0.098171
92,0.95987,0.979524,1,0.977929,0.988842,1,-0.018059,-0.009318,0
93,0.90123,0.948049,0.918259,0.979417,0.989602,1,-0.078187,-0.041553,-0.081741
94,0.971225,0.985403,1,0,0,0,0.971225,0.985403,1
95,0.950217,0.974473,1,0.965055,0.982217,1,-0.014838,-0.007744,0
96,0.961248,0.980241,1,0.955807,0.977404,1,0.005441,0.002837,0
97,0.950161,0.974444,1,0.956814,0.97793,1,-0.006653,-0.003486,0
98,0.936062,0.966975,1,0.974848,0.987264,1,-0.038786,-0.020289,0
99,0.954863,0.97691,1,0.975334,0.987513,1,-0.020471,-0.010603,0
100,0.955229,0.977102,1,0.969101,0.984308,1,-0.013872,-0.007206,0
101,0.925897,0.961523,0.912898,0.936371,0.96714,0.913088,-0.010474,-0.005617,-0.00019
102,0.960347,0.979772,1,0.958918,0.979028,1,0.001429,0.000744,0
103,0.927798,0.962547,0.961749,0.963215,0.981263,1,-0.035417,-0.018716,-0.038251
104,0.970619,0.985091,1,0.968025,0.983753,1,0.002594,0.001338,0
105,0.950435,0.974588,1,0.97033,0.984942,1,-0.019895,-0.010354,0
106,0.964095,0.981719,1,0.973424,0.986533,1,-0.009329,-0.004814,0
