image_id,proposed_iou,proposed_dice,proposed_bf_score,xceptionnet_iou,xceptionnet_dice,xceptionnet_bf_score,diff_iou,diff_dice,diff_bf_score
61,0.929213,0.963308,0.913272,0.756388,0.861299,0.476744,0.172825,0.102009,0.436528
62,0.961435,0.980338,1,0.909509,0.95261,0.864271,0.051926,0.027728,0.135729
63,0.925585,0.961355,0.988125,0.875198,0.933446,0.721212,0.050387,0.027909,0.266913
64,0.971982,0.985792,1,0.970052,0.984798,1,0.00193,0.000994,0
65,0.971982,0.985792,1,0.970052,0.984798,1,0.00193,0.000994,0
66,0.940847,0.969522,0.963631,0.937249,0.967608,1,0.003598,0.001914,-0.036369
67,0.956021,0.977516,1,0.940076,0.969113,1,0.015945,0.008403,0
68,0.955144,0.977058,1,0.968631,0.984066,1,-0.013487,-0.007008,0
69,0.942083,0.970178,1,0.891967,0.942899,0.738142,0.050116,0.027279,0.261858
70,0.972061,0.985833,1,0.931521,0.964547,1,0.04054,0.021286,0
71,0.946816,0.972681,1,0.932169,0.964894,0.98328,0.014647,0.007787,0.01672
72,0.96474,0.982054,1,0.93923,0.968663,1,0.02551,0.013391,0
73,0.964592,0.981977,1,0.95207,0.975446,1,0.012522,0.006531,0
74,0.973529,0.986587,1,0.975321,0.987506,1,-0.001792,-0.000919,0
75,0.958418,0.978768,1,0.932746,0.965203,1,0.025672,0.013565,0
76,0.924938,0.961005,0.994301,0.853072,0.920711,0.732813,0.071866,0.040294,0.261488
77,0.934269,0.966018,1,0.881967,0.937282,0.874648,0.052302,0.028736,0.125352
78,0.96627,0.982846,1,0.949203,0.97394,1,0.017067,0.008906,0
79,0.962478,0.98088,1,0.967856,0.983665,1,-0.005378,-0.002785,0
80,0.96257,0.980928,1,0.872148,0.931708,0.836467,0.090422,0.04922,0.163533
81,0.978801,0.989287,1,0.947854,0.973229,1,0.030947,0.016058,0
82,0.941634,0.96994,1,0.976259,0.987987,1,-0.034625,-0.018047,0
83,0.963557,0.98144,1,0.918588,0.957567,0.953887,0.044969,0.023873,0.046113
84,0.968663,0.984082,1,0.962873,0.981085,1,0.00579,0.002997,0
85,0.913323,0.954698,0.958818,0.924809,0.960936,0.982401,-0.011486,-0.006238,-0.023583
86,0.976557,0.98814,1,0.873654,0.932567,0.777195,0.102903,0.055573,0.222805
